x,y,z
95.21042811851275,162.74039076996422,a
162.6208712392673,148.36107671672073,a
172.5408465558853,202.9053837417855,a
129.24452227243287,176.94424636651019,a
109.94935346140531,203.82393504731846,a
173.36547808862528,175.28070427403725,a
134.66376897503497,203.04105049138565,a
157.21677185333573,228.01646962175369,a
165.37796054903646,188.66558732651055,a
108.42280783464034,190.6281785563432,a
138.63832921016416,173.1829924830878,a
134.62440235565265,169.6537320189886,a
162.42672888602496,180.7039415183355,a
136.58272731336316,194.92004206044942,a
124.06231869162676,184.37341109348347,a
162.72758949507661,161.64740199748695,a
155.65413049870648,200.33343698988193,a
131.7453132517665,137.5535442594831,a
112.39214819213609,209.54287565170694,a
192.10828480586906,169.11480245216592,a
155.54295430746853,207.78509260270766,a
174.95691439180226,135.32494769847392,a
154.64131145414203,206.42905937005048,a
172.53004255882738,175.02351343000407,a
133.8997054514119,183.3833398349235,a
137.61075341141867,161.14533374416646,a
115.4298394896119,225.93105939063827,a
214.1953720925373,185.0578574569813,a
165.19162112252644,142.6705342956712,a
151.39270992680343,184.83141849153827,a
146.06909124769848,90.38461130753916,a
201.50289609800836,151.48447418757496,a
194.85882066708533,171.1914721831995,a
182.32123779340372,164.46850444278903,a
128.065092059479,170.56837669401824,a
199.14648296472484,111.14094302075756,a
207.0857581195691,177.27114823644354,a
172.55356836427532,127.37307794428204,a
154.1662435453763,169.97885643975366,a
218.05933331160492,198.73979181744153,a
229.76112284648377,171.0935820758985,a
175.117745481476,150.79557112158966,a
193.73099893441875,179.09895778153265,a
225.1846016068792,159.13342197852342,a
200.01252821287454,168.12759570443944,a
152.8017695815501,142.35508035258118,a
180.73118453068685,180.60640442930014,a
190.67709875841626,187.57524862083977,a
132.76235460963656,181.00560913448965,a
233.6123539786305,159.5233573303591,a
162.66770701598662,156.22746027188134,a
171.26776969315154,197.24204156756218,a
156.7199247365378,143.7943764930983,a
211.17624883030206,179.26875513449244,a
167.35994666180747,127.25823919431491,a
175.03367637889266,160.57113961395464,a
184.79684803170906,169.91566495520442,a
232.35925536464498,154.09367771410598,a
195.62964610030429,74.96780599870135,a
207.77301215701084,182.77886589527668,a
191.18697710672268,119.00356531923649,a
184.18313169149806,134.75941028253698,a
224.75283987326412,156.49361757379302,a
209.56655819698847,132.2891060776558,a
202.37355459376633,121.60950937771918,a
161.88144548588104,162.69004051711858,a
166.07847013157217,100.62881025957466,a
163.4437241996971,171.3853986632659,a
257.82161136934894,156.99075144589364,a
211.53474258767963,131.62357980863135,a
159.05220266687508,119.75013418901835,a
185.35890248113697,137.14931279952293,a
230.88606870818234,119.53833972278375,a
208.43305107231788,165.93114653401005,a
175.84667864881592,173.35838037342074,a
190.80326204707038,164.84447594386774,a
245.71931909111413,101.4682142612291,a
205.83778022309755,127.22576457386356,a
167.9828962284513,113.5323354245026,a
200.74737680629667,103.86892651176407,a
207.99204794384787,135.8013600378448,a
212.52711303885064,140.178120547049,a
160.70484840375588,123.18417617149254,a
177.0019892226502,99.01793019477839,a
184.46370587871075,91.06747442655745,a
227.4562473350684,124.40814416810849,a
217.05182389359837,147.53145120131353,a
201.62284996207015,89.06525583413048,a
224.87285677198892,112.50008888333718,a
238.26771651801198,79.00037679903761,a
207.14949126537437,135.8362371036697,a
246.90917101690587,118.04853153615772,a
272.5233041009028,142.61791326259032,a
205.71813689993866,135.60585352070052,a
240.47671740082652,126.39678906899275,a
239.35373405644313,124.03353704260269,a
256.8286672497209,91.03372023935839,a
224.40478660505593,142.2526536284937,a
221.26676754495134,101.2393936363855,a
278.0403122105705,93.89394470804802,a
189.0842283551919,145.15458702255268,a
189.91855830122495,121.42366074542412,a
273.06666586365236,145.3539622784757,a
250.84975980653644,79.07611757878288,a
230.449663360661,103.40956402998467,a
232.8424831728634,112.30853359920349,a
223.71347831563722,121.12924880040629,a
191.4777236570798,98.85220410842453,a
269.067271008111,110.2789158411752,a
215.39370038629215,124.4458003055945,a
254.57743174188568,104.16454885870132,a
223.43213675919702,123.39487688460315,a
226.19661343327286,70.91503588268915,a
264.0595983573331,98.58489726489921,a
263.3101809342987,87.07845121647438,a
